0,0,51,2,1
1,76,10,1,1
2,49,8,2,1
3,71,24,1,1
4,16,99,1,1
5,98,30,2,1
6,24,10,2,2
7,30,22,2,1
8,57,78,1,1
9,0,13,2,2
10,63,44,1,1
11,85,99,2,1
12,95,7,2,1
13,90,38,1,1
14,28,29,1,1
15,8,88,2,1
16,96,42,2,1
17,47,0,2,1
18,30,48,1,1
19,4,93,1,1
20,76,66,2,1
21,43,98,2,1
22,56,18,1,1
23,99,74,2,3
24,84,6,2,1
25,75,10,1,1
26,74,66,1,1
27,43,19,1,1
28,63,32,1,1
29,54,44,2,1
30,9,11,1,2
31,8,89,2,1
32,73,30,2,1
33,76,46,2,1
34,59,19,2,1
35,22,29,1,1
36,12,83,2,1
37,60,25,1,1
38,81,73,1,1
39,10,24,1,1
40,16,57,1,1
41,97,52,2,1
42,89,88,2,4
43,31,38,2,1
44,83,92,1,1
45,38,98,1,1
46,7,7,1,2
47,76,45,1,1
48,2,51,2,1
49,75,15,2,1
50,76,69,2,1
51,38,98,2,1
52,77,21,2,1
53,74,78,1,1
54,13,38,1,1
55,81,83,2,1
56,45,91,1,1
57,61,19,2,1
58,38,40,2,1
59,32,85,1,1
60,21,70,1,1
61,52,44,2,1
62,59,42,1,1
63,65,93,2,1
64,99,16,2,5
65,23,22,2,1
66,13,39,2,1
67,2,86,1,1
68,14,25,2,1
69,85,9,1,1
70,7,75,1,1
71,90,14,1,1
72,25,81,2,1
73,82,21,1,1
74,73,35,2,1
75,49,60,2,1
76,72,23,1,1
77,60,84,1,1
78,34,66,1,1
79,99,75,2,3
80,70,27,1,1
81,27,23,1,1
82,70,5,2,1
83,9,76,1,1
84,21,60,2,1
85,28,53,2,1
86,8,25,2,1
87,31,1,2,2
88,35,86,2,1
89,17,70,1,1
90,9,33,2,1
91,56,95,2,1
92,56,7,1,1
93,88,53,1,1
94,8,4,1,2
95,69,16,1,1
96,14,62,1,1
97,40,3,1,1
98,35,89,2,1
99,90,27,1,1
100,12,35,1,1
101,1,90,1,1
102,0,62,1,6
103,35,60,1,1
104,41,65,1,1
105,56,55,1,1
106,15,94,1,1
107,6,56,2,1
108,90,6,2,1
109,15,10,1,2
110,72,40,2,1
111,5,3,1,2
112,92,13,2,1
113,12,66,2,1
114,18,30,1,1
115,55,30,1,1
116,77,41,2,1
117,37,93,2,1
118,88,28,2,1
119,47,3,1,1
120,67,17,1,1
121,67,46,1,1
122,3,81,2,1
123,18,46,1,1
124,98,98,2,1
125,67,93,1,1
126,74,93,2,1
127,85,9,2,1
128,45,38,2,1
129,6,66,2,6
130,8,89,2,1
131,85,68,2,1
132,89,76,2,1
133,91,45,2,1
134,11,47,1,1
135,9,32,1,1
136,76,46,2,1
137,11,40,2,1
138,39,56,1,1
139,48,48,1,1
140,52,71,2,7
141,27,8,2,2
142,4,63,2,6
143,60,85,1,1
144,85,78,2,1
145,24,81,1,1
146,72,43,1,1
147,32,42,2,1
148,66,78,1,8
149,28,95,2,1
150,91,64,2,3
151,64,12,1,1
152,70,38,1,1
153,32,13,2,1
154,55,88,2,1
155,40,25,1,1
156,90,21,2,1
157,36,98,2,1
158,61,6,2,1
159,57,36,1,1
160,31,55,1,1
161,92,54,2,1
162,26,79,2,1
163,93,55,2,1
164,46,89,1,1
165,87,82,1,1
166,48,73,1,7
167,68,42,1,1
168,34,29,1,1
169,27,20,2,1
170,54,70,1,7
171,30,97,1,1
172,27,4,2,2
173,68,15,2,1
174,75,80,1,1
175,73,90,1,1
176,27,25,1,1
177,45,64,2,1
178,58,48,2,1
179,6,83,2,1
180,3,15,2,2
181,88,46,1,1
182,12,71,1,1
183,71,90,1,1
184,59,17,1,1
185,51,88,1,1
186,22,97,1,1
187,74,64,1,1
188,65,21,1,1
189,76,35,2,1
190,61,26,2,1
191,62,87,2,1
192,18,37,1,1
193,92,30,1,1
194,47,54,1,1
195,74,61,2,1
196,78,64,2,1
197,93,63,2,3
198,25,88,2,1
199,72,42,2,1
200,79,86,1,1
201,7,40,2,1
202,22,85,1,1
203,52,91,1,1
204,47,95,2,1
205,48,98,2,1
206,43,98,2,1
207,53,54,2,1
208,24,37,2,1
209,11,92,1,1
210,25,57,2,1
211,3,42,1,1
212,26,17,2,1
213,60,32,1,1
214,62,91,2,1
215,13,9,2,2
216,18,19,1,1
217,51,18,2,1
218,80,25,1,1
219,48,51,2,1
220,2,42,1,1
221,32,96,1,1
222,12,33,1,1
223,53,24,1,1
224,91,34,1,1
225,87,51,2,1
226,8,1,2,2
227,36,82,2,1
228,51,48,2,1
229,36,51,2,1
230,26,9,1,2
231,58,15,2,1
232,84,33,2,1
233,70,93,2,1
234,85,1,2,1
235,60,97,1,1
236,51,96,1,1
237,21,70,2,1
238,49,4,2,1
239,47,17,1,1
240,27,10,1,2
241,65,3,2,1
242,22,10,1,2
243,13,9,2,2
244,70,69,1,1
245,57,62,1,9
246,11,10,1,2
247,27,42,1,1
248,78,43,1,1
249,21,44,1,1
250,34,88,1,1
251,5,76,1,1
252,87,0,2,1
253,69,83,2,1
254,16,90,2,1
255,3,61,1,6
256,66,22,1,1
257,50,65,2,1
258,5,73,2,1
259,42,97,1,1
260,47,25,2,1
261,2,38,2,1
262,18,10,2,2
263,93,32,1,1
264,74,81,2,1
265,89,61,2,3
266,66,90,2,1
267,73,18,1,1
268,90,17,1,1
269,30,17,2,1
270,5,2,2,2
271,8,78,1,1
272,58,84,1,1
273,14,28,1,1
274,8,32,1,1
275,28,87,2,1
276,13,77,1,1
277,27,71,2,1
278,75,91,2,1
279,78,90,1,1
280,87,7,1,1
281,73,12,2,1
282,67,17,2,1
283,80,47,1,1
284,11,62,1,1
285,11,74,1,1
286,85,53,2,1
287,15,60,2,1
288,68,52,1,1
289,43,24,2,1
290,25,72,1,1
291,80,16,2,1
292,84,69,2,1
293,21,26,2,1
294,46,40,2,1
295,78,53,2,1
296,46,3,1,1
297,44,74,2,7
298,18,79,2,1
299,19,51,1,1
300,95,68,2,3
301,86,37,1,1
302,97,83,2,10
303,4,0,2,2
304,64,2,2,1
305,65,7,2,1
306,37,31,2,1
307,64,69,1,11
308,6,95,2,1
309,87,4,2,1
310,24,40,2,1
311,23,77,1,1
312,46,30,2,1
313,8,79,1,1
314,65,27,1,1
315,11,79,1,1
316,81,56,2,1
317,87,3,1,1
318,0,27,1,12
319,25,59,1,1
320,4,47,2,1
321,0,95,1,1
322,83,86,2,1
323,11,58,1,1
324,46,86,1,1
325,25,43,1,1
326,35,59,1,1
327,82,0,2,1
328,20,28,1,1
329,75,10,2,1
330,75,72,2,1
331,48,17,1,1
332,13,55,1,1
333,92,99,2,1
334,29,60,1,1
335,89,39,2,1
336,46,65,1,1
337,43,47,1,1
338,26,50,2,1
339,43,75,1,7
340,82,27,2,1
341,1,59,1,6
342,47,16,2,1
343,51,8,1,1
344,41,18,1,1
345,51,92,1,1
346,7,84,1,1
347,38,19,1,1
348,61,62,1,9
349,68,77,2,8
350,7,78,1,1
351,17,52,1,1
352,53,52,1,1
353,53,48,1,1
